run;weight;alpha;beta;harbourBonus;dist
467;farming;0.45;1.10;0.07;79648.74
755;farming;1.19;1.02;1.48;79653.68
29;prom;0.09;1.40;0.09;79654.75
179;farming;1.09;0.66;1.47;79654.92
486;farming;0.48;1.31;0.29;79655.83
912;farming;1.08;0.84;1.47;79655.83
410;prom;1.79;0.26;0.08;79655.95
320;farming;1.15;1.03;1.47;79656.52
809;prom;0.78;1.16;0.08;79660.21
800;farming;0.87;0.19;0.25;79662.87
202;farming;1.74;0.64;1.47;79663.21
270;prom;0.44;1.38;0.07;79663.80
61;farming;1.15;1.33;1.47;79664.35
94;farming;0.47;1.68;0.51;79664.94
412;prom;0.04;1.09;0.07;79665.59
918;farming;1.42;0.52;1.47;79665.98
55;farming;1.15;0.91;1.46;79667.26
864;farming;1.77;1.78;1.48;79667.27
546;farming;0.82;1.96;1.44;79667.60
936;farming;1.59;1.84;1.47;79670.35
166;farming;1.31;1.13;1.46;79674.25
996;prom;0.09;0.71;0.05;79677.05
218;farming;0.80;0.52;0.64;79678.04
196;prom;0.26;1.35;0.05;79679.71
152;prom;1.80;1.60;0.05;79682.55
106;farming;1.24;0.33;1.44;79682.58
138;prom;0.50;1.45;0.05;79684.10
164;prom;1.76;0.73;0.04;79688.70
568;farming;0.73;1.19;1.05;79690.71
83;prom;1.87;0.95;0.04;79692.56
206;prom;0.54;1.44;0.03;79696.14
141;prom;1.88;1.52;0.03;79696.32
825;farming;1.13;1.71;1.43;79696.51
812;prom;1.44;1.96;0.03;79698.46
586;prom;0.16;1.55;0.02;79699.68
699;prom;1.50;0.33;0.02;79700.79
662;farming;1.21;1.83;1.43;79702.30
409;farming;1.97;0.39;1.42;79704.04
303;prom;0.71;0.50;0.01;79707.21
231;prom;1.77;0.50;0.01;79707.42
19;farming;0.64;0.87;0.35;79708.49
353;prom;1.07;1.82;0.01;79709.14
693;prom;1.94;1.03;0.01;79710.31
554;prom;1.46;0.22;0.00;79711.61
660;farming;1.96;0.13;1.41;79711.92
375;farming;0.59;1.34;0.59;79712.20
40;prom;1.79;0.70;0.00;79715.67
539;prom;1.53;1.06;0.00;79716.67
187;farming;1.10;1.95;1.40;79719.41
472;farming;0.67;1.51;1.04;79720.21
717;farming;0.45;1.93;0.52;79721.72
234;farming;1.07;1.47;1.39;79725.83
805;farming;0.75;0.76;0.66;79726.39
798;farming;1.47;1.57;1.40;79729.89
205;farming;1.77;1.89;1.40;79730.48
978;farming;0.78;1.85;1.36;79732.07
328;farming;1.07;0.36;1.36;79739.80
728;farming;1.52;1.60;1.38;79745.96
832;farming;1.84;0.02;1.37;79747.33
66;farming;1.88;0.71;1.37;79753.64
588;farming;1.31;1.66;1.36;79759.36
335;farming;0.32;1.91;0.03;79761.17
902;farming;1.18;1.15;1.35;79762.97
785;farming;1.18;1.98;1.35;79765.51
905;farming;1.40;2.00;1.36;79767.62
301;farming;1.79;1.84;1.36;79768.68
513;farming;1.21;0.41;1.34;79768.94
540;farming;1.86;0.61;1.35;79769.63
8;farming;1.92;0.64;1.35;79770.34
324;farming;1.93;1.24;1.35;79773.62
602;farming;0.72;1.63;1.20;79778.17
817;farming;1.78;1.90;1.34;79781.64
44;farming;1.81;0.52;1.33;79782.19
420;farming;1.52;0.64;1.33;79783.55
870;farming;0.70;1.78;1.18;79784.54
402;farming;0.72;1.03;0.73;79786.63
339;farming;0.76;0.39;0.04;79795.05
676;farming;1.55;1.18;1.31;79809.81
116;farming;1.68;1.99;1.31;79815.57
90;farming;1.09;0.06;1.27;79816.59
740;farming;0.86;1.46;1.26;79824.22
15;farming;1.48;1.55;1.29;79829.18
291;farming;1.05;1.64;1.27;79829.53
214;farming;0.89;0.97;1.25;79830.68
437;farming;0.66;1.69;0.98;79833.01
309;farming;1.22;0.13;1.26;79833.78
102;farming;1.46;1.49;1.27;79842.60
992;farming;1.01;1.04;1.25;79842.92
359;farming;0.79;1.19;1.11;79844.05
120;farming;0.42;1.92;0.20;79848.55
732;farming;1.19;0.21;1.24;79851.91
835;farming;1.97;1.64;1.26;79852.22
381;farming;1.08;1.79;1.25;79854.52
475;farming;1.62;0.26;1.25;79854.87
667;farming;0.88;0.39;0.70;79860.94
692;farming;1.55;0.40;1.24;79869.86
686;farming;1.69;0.56;1.24;79870.33
398;farming;1.59;0.49;1.23;79876.36
390;farming;0.68;1.23;0.65;79878.02
617;farming;0.82;0.61;0.63;79885.02
4;farming;0.87;1.79;1.20;79887.23
370;farming;0.54;1.96;0.66;79891.42
727;farming;1.37;0.02;1.20;79893.87
414;farming;1.47;0.91;1.21;79894.02
763;farming;0.67;1.85;1.01;79902.94
901;farming;1.27;0.28;1.18;79917.38
177;farming;1.93;0.48;1.18;79928.67
188;farming;1.93;1.07;1.17;79933.79
477;farming;1.11;1.74;1.17;79936.05
928;farming;1.95;0.59;1.16;79943.92
894;farming;0.78;1.00;0.77;79948.44
829;farming;1.94;0.59;1.15;79953.51
530;farming;1.69;0.48;1.15;79954.68
221;farming;1.37;1.71;1.15;79962.62
884;farming;1.55;0.43;1.14;79965.55
567;farming;0.68;0.83;0.15;79967.94
158;farming;1.13;0.94;1.13;79970.48
569;farming;1.07;1.66;1.12;79975.75
628;farming;1.45;1.81;1.13;79984.60
163;farming;1.49;1.62;1.12;79994.60
364;farming;0.77;0.58;0.17;80005.84
65;farming;1.53;1.16;1.10;80006.77
844;farming;1.18;0.84;1.07;80029.84
493;farming;1.58;0.78;1.08;80029.87
841;farming;1.35;0.79;1.07;80038.08
336;farming;1.01;1.93;1.05;80050.01
789;farming;1.31;0.77;1.06;80051.86
721;farming;1.11;1.96;1.06;80051.97
144;farming;1.64;1.69;1.07;80052.20
711;farming;1.02;1.05;1.04;80055.61
36;farming;1.48;0.02;1.05;80060.27
856;farming;0.70;1.79;0.88;80064.21
723;farming;0.50;1.67;0.04;80065.71
858;farming;0.88;0.90;0.98;80071.73
434;farming;0.51;1.85;0.21;80079.31
744;farming;1.48;0.04;1.00;80106.25
954;farming;1.26;1.42;1.01;80106.26
685;farming;0.99;1.10;0.99;80108.90
972;farming;1.57;0.38;1.00;80114.61
915;farming;0.70;1.07;0.32;80116.16
153;farming;1.07;0.97;0.99;80117.45
678;farming;0.75;0.96;0.39;80122.35
703;farming;1.95;1.87;1.00;80125.27
708;farming;1.79;0.51;0.99;80127.67
86;farming;0.95;1.72;0.96;80140.88
133;farming;0.71;1.58;0.71;80147.28
917;farming;1.61;1.29;0.98;80147.51
478;farming;1.02;0.59;0.95;80156.25
836;farming;1.24;0.22;0.95;80160.78
304;farming;1.69;0.93;0.95;80178.89
96;farming;0.91;1.85;0.93;80180.13
834;farming;1.76;0.93;0.95;80181.19
671;farming;0.67;1.60;0.54;80189.76
403;farming;1.38;0.52;0.93;80198.78
290;farming;1.77;1.13;0.93;80205.96
43;farming;1.73;1.19;0.93;80207.28
553;farming;1.99;1.59;0.93;80207.81
433;farming;1.40;1.21;0.92;80210.44
130;farming;1.64;0.24;0.92;80211.51
619;farming;1.01;1.31;0.90;80224.18
208;farming;1.85;0.94;0.91;80224.66
725;farming;0.95;0.24;0.59;80225.83
404;farming;1.87;1.75;0.92;80226.00
