code;cost
4_112;211638
4_113;409890
4_114;492784
4_115;651233
4_116;586538
4_117;1206666
4_118;856385
4_119;787305
4_120;415196
4_121;842554
4_122;226281
4_123;258583
4_124;642155
4_125;447390
4_126;847266
4_127;217309
4_128;957337
4_129;717904
4_130;805159
4_131;438731
4_132;661864
4_133;483438
4_134;874483
4_135;881948
4_136;715005
4_137;730013
4_138;482846
4_139;558972
4_140;628090
5_1;1627092
5_2;446552
5_3;34033
5_4;249621
5_5;0
5_6;553170
5_7;325459
5_8;205287
5_9;540171
5_10;18036
5_11;641743
5_12;1441104
5_13;24025
5_14;694415
5_15;100343
5_16;552697
5_17;53082
5_18;18045
5_19;1621106
5_20;446436
5_21;309284
5_22;753734
5_23;552526
5_24;444637
5_25;411606
5_26;539513
5_27;487215
5_28;486595
5_29;424475
5_30;761517
5_31;573837
5_32;704235
5_33;416836
5_34;132323
5_35;509017
5_36;273097
5_37;514241
5_38;325187
5_39;364683
5_40;176831
5_41;777406
5_42;1396826
5_43;312855
5_44;256648
5_45;112043
5_46;439550
5_47;24164
5_48;146342
5_49;260783
5_50;523078
5_51;354732
5_52;1801397
5_53;1367620
5_54;649392
5_55;475186
5_56;20695
5_57;183723
5_58;684850
5_59;222453
5_60;338191
5_61;694570
5_62;374005
5_63;524949
5_64;864899
5_65;475451
5_66;82792
5_67;1914677
5_68;561223
5_69;532781
5_70;786719
5_71;283736
5_72;634684
5_73;823200
5_74;1546256
5_75;443359
5_76;810948
5_77;311546
5_78;85337
5_79;157107
5_80;676990
5_81;455466
5_82;557375
5_83;93184
5_84;576965
5_85;244174
5_86;81479
5_87;400696
5_88;347513
5_89;595313
5_90;331934
5_91;244297
5_92;860453
5_93;360813
5_94;380211
5_95;468093
5_96;496502
5_97;741289
5_98;421292
5_99;722384
5_100;520209
5_101;640453
5_102;1557918
5_103;654056
5_104;932341
5_105;422784
5_106;348000
5_107;1439401
5_108;445070
5_109;258972
5_110;1241687
5_111;232236
5_112;146666
5_113;658643
5_114;513434
5_115;721277
5_116;653351
5_117;1371774
5_118;969192
5_119;952413
5_120;417335
5_121;1088189
5_122;382817
5_123;362654
5_124;780083
5_125;512587
5_126;960073
5_127;364343
5_128;1122509
5_129;965624
5_130;968112
5_131;555413
5_132;894124
5_133;462887
5_134;1037253
5_135;1129669
5_136;927119
5_137;962289
5_138;548767
5_139;632732
5_140;731495
6_1;1210112
6_2;438532
6_3;544485
6_4;429170
6_5;555482
6_6;0
6_7;501675
6_8;415528
6_9;15635
6_10;538567
6_11;261399
6_12;1159418
6_13;534997
6_14;316654
6_15;564338
6_16;14407
6_17;506218
6_18;542341
6_19;1223336
6_20;138852
6_21;360186
6_22;799401
6_23;308555
6_24;110305
6_25;441512
6_26;596899
6_27;67464
6_28;78891
6_29;809697
6_30;789871
6_31;927979
6_32;1044364
6_33;512263
6_34;440342
6_35;904621
6_36;388127
6_37;39238
6_38;410063
6_39;233790
6_40;518981
6_41;1101699
6_42;1120820
6_43;327018
6_44;383790
6_45;594371
6_46;812411
6_47;560049
6_48;529567
6_49;418017
6_50;898295
6_51;619295
6_52;1456450
6_53;1129054
6_54;842028
6_55;697600
6_56;566864
6_57;546046
6_58;1010951
6_59;361869
6_60;305744
6_61;401714
6_62;792382
6_63;667940
6_64;1009049
6_65;862180
6_66;475076
6_67;1614619
6_68;8536
6_69;21706
6_70;288561
6_71;285918
6_72;82182
6_73;322457
6_74;1286583
6_75;848630
6_76;306416
6_77;255034
6_78;587884
6_79;408705
6_80;1031236
6_81;98238
6_82;20109
6_83;470120
6_84;931815
6_85;467799
6_86;598340
6_87;539565
6_88;445559
6_89;949559
6_90;397547
6_91;683195
6_92;974093
6_93;208155
6_94;376476
6_95;905838
6_96;913743
6_97;690938
6_98;785531
6_99;1048484
6_100;484138
6_101;770034
6_102;1104890
6_103;962091
6_104;1246320
6_105;765437
6_106;204314
6_107;1169352
6_108;787663
6_109;299090
6_110;1176414
6_111;320379
6_112;588597
6_113;622555
6_114;904240
6_115;1075803
6_116;1008201
6_117;877768
6_118;1283171
6_119;458059
6_120;812990
6_121;1094392
6_122;652999
6_123;686032
6_124;275551
6_125;869053
6_126;1274052
6_127;644759
6_128;628651
6_129;787374
6_130;1230141
6_131;865517
6_132;958637
6_133;880129
6_134;540663
6_135;854291
6_136;1123099
6_137;1016645
6_138;904509
6_139;986422
6_140;1054876
7_1;1459102
7_2;166192
7_3;297044
7_4;93123
7_5;322483
7_6;495403
7_7;0
7_8;137552
7_9;482404
7_10;321797
7_11;497782
7_12;1152423
7_13;303383
7_14;541090
7_15;269527
7_16;494930
7_17;273262
7_18;311556
7_19;1451960
7_20;382238
7_21;141501
7_22;429382
7_23;382494
7_24;386870
7_25;132273
7_26;223444
7_27;429447
7_28;428827
7_29;391400
7_30;440207
7_31;453782
7_32;547038
7_33;103120
7_34;289022
7_35;487240
7_36;115900
7_37;456473
7_38;97636
7_39;278533
7_40;184912
7_41;604372
7_42;1093062
7_43;178025
7_44;125316
7_45;294476
7_46;384885
7_47;315535
7_48;212441
7_49;89403
7_50;460648
7_51;135228
7_52;1615262
7_53;1060685
7_54;343349
7_55;197525
7_56;324924
7_57;195890
7_58;513625
