code;cost
1_1;0
1_2;15.023680555555556
1_3;18.65832175925926
1_4;16.864768518518517
1_5;18.78560185185185
1_6;13.97949074074074
1_7;16.888217592592593
1_8;17.132199074074073
1_9;14.025405092592592
1_10;18.589826388888888
1_11;11.542835648148149
1_12;5.262314814814815
1_13;18.54849537037037
1_14;10.89105324074074
1_15;18.888090277777778
1_16;13.90162037037037
1_17;18.215405092592594
1_18;18.633506944444445
1_19;0.33363425925925927
1_20;13.957638888888889
1_21;15.868090277777778
1_22;15.291956018518519
1_23;12.587268518518519
1_24;14.185729166666667
1_25;15.465613425925927
1_26;15.537083333333333
1_27;14.119143518518518
1_28;14.034525462962963
1_29;21.415902777777777
1_30;14.715891203703704
1_31;21.9275
1_32;22.379016203703703
1_33;15.990393518518518
1_34;17.452962962962964
1_35;22.48241898148148
1_36;16.357060185185187
1_37;14.159201388888889
1_38;16.038043981481483
1_39;14.640520833333333
1_40;18.338078703703705
1_41;22.184131944444445
1_42;6.891770833333333
1_43;15.565972222222221
1_44;16.505636574074074
1_45;19.235694444444444
1_46;21.294432870370372
1_47;18.83846064814815
1_48;18.478113425925926
1_49;16.666550925925925
1_50;22.16761574074074
1_51;18.40525462962963
1_52;3.3841087962962964
1_53;10.520462962962963
1_54;18.64173611111111
1_55;18.26818287037037
1_56;18.91732638888889
1_57;18.637592592592593
1_58;21.65630787037037
1_59;16.544432870370372
1_60;15.179305555555555
1_61;11.003831018518518
1_62;21.32494212962963
1_63;17.06925925925926
1_64;18.669120370370372
1_65;21.89875
1_66;17.854976851851852
1_67;5.680983796296296
1_68;13.947002314814815
1_69;14.06925925925926
1_70;10.883333333333333
1_71;15.488842592592592
1_72;13.397094907407407
1_73;10.601226851851852
1_74;10.208680555555556
1_75;21.927997685185186
1_76;10.825208333333334
1_77;15.14599537037037
1_78;19.160613425925927
1_79;17.08679398148148
1_80;22.827546296296298
1_81;14.156944444444445
1_82;13.809050925925925
1_83;17.797615740740742
1_84;22.233101851851853
1_85;17.3328125
1_86;19.281631944444445
1_87;16.556018518518517
1_88;16.168287037037036
1_89;22.293240740740742
1_90;15.882430555555555
1_91;20.18800925925926
1_92;17.974907407407407
1_93;14.619525462962963
1_94;15.263622685185185
1_95;22.735034722222224
1_96;22.713101851851853
1_97;13.526203703703704
1_98;21.002789351851852
1_99;22.136400462962964
1_100;14.563518518518519
1_101;17.199282407407406
1_102;1.4426388888888888
1_103;20.95716435185185
1_104;23.254583333333333
1_105;20.32091435185185
1_106;14.831875
1_107;8.146469907407408
1_108;20.460844907407406
1_109;15.754548611111112
1_110;13.562569444444444
1_111;16.06449074074074
1_112;19.161331018518517
1_113;14.093344907407408
1_114;22.308171296296297
1_115;23.462997685185186
1_116;22.900636574074074
1_117;5.199120370370371
1_118;23.268796296296298
1_119;8.830960648148148
1_120;21.51267361111111
1_121;14.297210648148148
1_122;18.6146875
1_123;19.516458333333333
1_124;11.131909722222222
1_125;21.63391203703704
1_126;23.51127314814815
1_127;18.668032407407406
1_128;6.937962962962963
1_129;10.998842592592593
1_130;21.612094907407407
1_131;20.376747685185187
1_132;16.784247685185186
1_133;22.32403935185185
1_134;8.913784722222223
1_135;8.007939814814815
1_136;20.104988425925924
1_137;16.42332175925926
1_138;21.989456018518517
1_139;22.101041666666667
1_140;21.80230324074074
2_1;14.977210648148148
2_2;0
2_3;4.878784722222222
2_4;2.2723032407407406
2_5;5.079861111111111
2_6;4.941550925925926
2_7;1.8775
2_8;2.779872685185185
2_9;4.791099537037037
2_10;5.010578703703704
2_11;4.143645833333333
2_12;11.590358796296297
2_13;4.841423611111111
2_14;4.415196759259259
2_15;4.740138888888889
2_16;4.936076388888889
2_17;4.4852083333333335
2_18;4.93693287037037
2_19;14.89454861111111
2_20;3.4777314814814817
2_21;1.6690393518518518
2_22;4.551793981481482
2_23;2.570613425925926
2_24;3.704675925925926
2_25;0.45105324074074077
2_26;1.9186458333333334
2_27;4.17818287037037
2_28;4.153877314814815
2_29;6.407592592592593
2_30;4.479814814814815
2_31;7.007152777777778
2_32;7.611875
2_33;1.127372685185185
2_34;3.9075231481481483
2_35;7.487442129629629
2_36;2.007962962962963
2_37;4.490983796296296
2_38;1.3876967592592593
2_39;2.4691203703703706
2_40;3.7642708333333332
2_41;8.195949074074074
2_42;11.031273148148149
2_43;1.815914351851852
2_44;2.2100115740740742
2_45;5.030567129629629
2_46;6.299444444444444
2_47;5.078217592592592
2_48;4.081087962962963
2_49;2.0964930555555554
2_50;7.172638888888889
2_51;3.4096180555555557
2_52;16.784618055555555
2_53;10.695185185185185
2_54;5.025706018518519
2_55;3.4905671296296297
2_56;5.172615740740741
2_57;3.8973032407407406
2_58;7.182511574074074
2_59;2.6707870370370372
2_60;1.8065277777777777
2_61;4.011608796296296
2_62;6.3068634259259255
2_63;2.9214930555555556
2_64;6.725023148148148
2_65;6.903773148148148
2_66;4.275729166666666
2_67;17.53472222222222
2_68;5.03474537037037
2_69;4.705555555555556
2_70;6.434710648148148
2_71;2.342303240740741
2_72;5.778599537037037
2_73;6.902615740740741
2_74;12.762731481481481
2_75;6.9196875
2_76;6.8770949074074075
2_77;2.4927314814814814
2_78;5.206747685185185
2_79;3.5413425925925925
2_80;8.001412037037037
2_81;3.8343171296296297
2_82;4.990219907407408
2_83;4.160555555555556
2_84;7.304201388888889
2_85;2.5510300925925926
2_86;5.403125
2_87;1.6320601851851853
2_88;1.209664351851852
2_89;7.372893518518518
2_90;1.3290046296296296
2_91;5.2467245370370375
2_92;6.26556712962963
2_93;2.750798611111111
2_94;0.9472685185185186
2_95;7.7165740740740745
2_96;7.704791666666667
2_97;3.480150462962963
2_98;6.000717592592593
2_99;7.626655092592593
2_100;0.9046527777777778
2_101;3.9492708333333333
2_102;14.187592592592592
2_103;6.588912037037037
2_104;9.805706018518519
2_105;5.3259375
2_106;2.942488425925926
2_107;11.525983796296297
2_108;5.465868055555555
2_109;2.3834837962962965
2_110;9.317951388888888
2_111;2.5701157407407407
2_112;4.676550925925926
2_113;2.5971875
2_114;7.313194444444444
2_115;8.622708333333334
2_116;8.000011574074074
2_117;12.150706018518518
2_118;10.210601851851852
2_119;7.480023148148148
2_120;6.504351851851852
2_121;8.090208333333333
2_122;3.6458333333333335
2_123;4.520833333333333
2_124;6.700543981481482
2_125;6.638935185185185
2_126;10.126678240740741
2_127;3.6723958333333333
2_128;9.264953703703704
2_129;6.042453703703703
2_130;9.473171296296297
2_131;5.550625
2_132;6.268726851851852
2_133;7.315729166666666
2_134;8.612511574074073
2_135;7.93917824074074
2_136;8.196331018518519
2_137;7.030162037037037
2_138;7.004467592592593
2_139;7.274907407407407
2_140;7.654386574074074
3_1;18.675162037037037
3_2;4.955821759259259
3_3;0
3_4;2.676527777777778
3_5;0.3637152777777778
3_6;6.245520833333333
3_7;3.4396643518518517
3_8;2.163402777777778
3_9;6.09505787037037
3_10;0.4794791666666667
3_11;7.270659722222222
3_12;16.466840277777777
3_13;0.28760416666666666
3_14;7.880300925925926
3_15;0.7814583333333334
3_16;6.240034722222222
3_17;0.42394675925925923
3_18;0.34358796296296296
3_19;18.60587962962963
3_20;5.010162037037037
3_21;3.3713310185185184
3_22;8.405439814814814
3_23;6.2380555555555555
3_24;4.989351851851852
3_25;4.551342592592593
3_26;5.967581018518518
3_27;5.482141203703704
3_28;5.474965277777778
3_29;4.551863425925926
3_30;8.515254629629629
3_31;6.280590277777778
3_32;7.789826388888889
3_33;4.574664351851852
3_34;1.666875
3_35;5.530358796296296
3_36;2.948240740740741
3_37;5.7949421296296295
3_38;3.551134259259259
3_39;4.0639467592592595
3_40;1.6644675925925927
3_41;8.629363425925925
3_42;15.954351851851852
3_43;3.424548611111111
3_44;2.7578472222222223
3_45;0.9620486111111111
3_46;4.726342592592593
3_47;0.21688657407407408
3_48;1.311585648148148
3_49;2.8057060185185185
3_50;5.693101851851852
3_51;3.7235069444444444
3_52;20.692581018518517
3_53;15.616331018518519
3_54;7.133923611111111
3_55;5.117650462962963
